id,sciname,genus,family,order,date,recorder,latitude,longitude
1,Abisara saturata,Abisara,Riodinidae,Lepidoptera,6/24/2018,big-simonchan,1.284,103.7911
2,Abisara saturata,Abisara,Riodinidae,Lepidoptera,1/28/2018,big-simonchan,1.30859,103.77304
3,Abisara saturata,Abisara,Riodinidae,Lepidoptera,7/25/2020,lcwoo,1.2815,103.8679
4,Abisara saturata,Abisara,Riodinidae,Lepidoptera,4/1/2018,big-simonchan,1.42444,103.84274
5,Abisara saturata,Abisara,Riodinidae,Lepidoptera,8/15/2020,lcwoo,1.3297,103.87978
6,Nacaduba kurava,Nacaduba,Lycaenidae,Lepidoptera,3/8/2018,big-simonchan,1.279088,103.799606
7,Nacaduba kurava,Nacaduba,Lycaenidae,Lepidoptera,12/2/2017,big-simonchan,1.36201,103.777382
8,Nacaduba pactolus,Nacaduba,Lycaenidae,Lepidoptera,4/14/2018,big-simonchan,1.418109,103.783638
9,Neptis hylas,Neptis,Nymphalidae,Lepidoptera,4/1/2018,big-simonchan,1.348179,103.776629
11,Neurothemis fluctuans,Neurothemis,Libellulidae,Odonata,3/8/2018,lcwoo,1.3831,103.813576
12,Neurothemis fluctuans,Neurothemis,Libellulidae,Odonata,6/9/2018,big-simonchan,1.33134,103.95448
13,Pelopidas agna,Pelopidas,Hesperiidae,Lepidoptera,3/14/2018,big-simonchan,1.296439,103.776501
14,Pelopidas agna,Pelopidas,Hesperiidae,Lepidoptera,5/19/2019,big-simonchan,1.2972,103.7765
15,Petrelaea dana,Petrelaea,Lycaenidae,Lepidoptera,6/24/2018,big-simonchan,1.296956,103.776807
16,Petrelaea dana,Petrelaea,Lycaenidae,Lepidoptera,9/19/2020,big-simonchan,1.350099,103.692085
17,Phaedyma columella,Phaedyma,Nymphalidae,Lepidoptera,7/26/2020,big-simonchan,1.402388,103.966111
18,NA,Phaedyma,Nymphalidae,Lepidoptera,12/1/2020,big-simonchan,1.296439,103.776501
19,NA,NA,Nymphalidae,Lepidoptera,11/11/2017,big-simonchan,1.297436,103.778218
20,NA,NA,NA,NA,10/9/2018,NA,1.36201,103.777382
